product_name,size,description,image,store_id,price,unit_price,is_special,special_type,special_buy_quantity,special_buy_price
Raspberry Bullets Milk Chocolate Coated 200g,200g,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/26289ab6-3136-4e79-94b2-e36691d25b6c/Raspberry%20Bullets%20Milk%20Chocolate%20Coated%20200g,1,2.59,$1.30/100g,False,,,
Shapes Pizza Cracker Biscuits 250g,250g,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/e09a2566-e815-434e-838d-ac3d34237465/Shapes%20Pizza%20Cracker%20Biscuits%20250g,1,3.99,$1.48/100g,False,,,
Original Instant Coffee 180g,180g,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/6dd9838b-469f-411c-aabc-aba27c2cccc7/Original%20Instant%20Coffee%20180g,1,8.99,$4.99/100g,False,,,
Tonic Water No Sugar 1.25L,1.25L,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/6f5999ba-c38d-48ad-88fd-3a2fd5974032/Tonic%20Water%20No%20Sugar%201.25L,1,1.09,$0.87/1l,False,,,
"Chicken, Cheese & Bacon Sausage Rolls 600g",600g,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/80194dce-a86d-4502-bef8-bd91cdbe5815/Chicken%20Cheese%20%20Bacon%20Sausage%20Rolls%20600g,1,8.99,$1.50/100g,False,,,
Frozen Pineapple Chunks 500g,500g,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/95a5c6fc-2fe7-40bc-aae2-fe3fead8126a/Frozen%20Pineapple%20Chunks%20500g,1,4.99,$9.98/1kg,False,,,
Sriracha Chicken Seasoning 40g,40g,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/f0efa126-2a37-4d68-8ae3-44a4ab66c06e/Sriracha%20Chicken%20Seasoning%2040g,1,2.49,$6.23/100g,False,,,
Assorted Square Side Table,Unknown,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/e4acbbad-4654-4476-b4d7-5686496f1e33/Assorted%20Square%20Side%20Table,1,49.99,,False,,,
Baby Carrots 500g,500g,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/3a65be43-c903-44e3-b1a0-c3a1cee99c4e/Baby%20Carrots%20500g,1,1.49,$2.98/1kg,False,,,
Cheese & Onion Crinkle Cut Chips 230g,230g,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/fb01247a-e0c7-4373-acc0-f7a102817464/Cheese%20%20Onion%20Crinkle%20Cut%20Chips%20230g,1,2.69,$1.17/100g,False,,,
Lightly Infused Pork Loin Steak,Unknown,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/5b387dea-18d6-4eb8-89c4-12887e2c0e23/Lightly%20Infused%20Pork%20Loin%20Steak,1,8.84,$19.99/1kg,False,,,
Microwave Potatoes 500g,500g,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/0fcb1eac-a092-4b40-a533-73c9dbefbb32/Microwave%20Potatoes%20500g,1,2.69,$5.38/1kg,False,,,
Dry Dog Food Beef 8kg,8kg,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/5d3df050-444a-4fd3-8fba-20782ecc9df8/Dry%20Dog%20Food%20Beef%208kg,1,17.99,$0.22/100g,False,,,
Potato Gratin Spinach & Ricotta 400g,400g,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/9f83f513-8dbd-4c56-b939-e736a34297ca/Potato%20Gratin%20Spinach%20%20Ricotta%20400g,1,5.49,$13.73/1kg,False,,,
