product_name,size,description,image,store_id,price,unit_price,is_special,special_type,special_buy_quantity,special_buy_price
Cadbury Dairy Milk Chocolate Hollow Easter Eggs 20 pack,20 pack,,https://assets.woolworths.com.au/images/1005/6043966.jpg?impolicy=wowsmkqiema&w=260&h=260,4,15.0,$4.41/100g,False,,,
Easter Plush Basket Blue each,Unknown,,https://assets.woolworths.com.au/images/1005/6042625.jpg?impolicy=wowsmkqiema&w=260&h=260,4,6.0,,False,,,
Ferrero Rocher Milk Chocolate Easter Egg Tin 16 pack,16 pack,,https://assets.woolworths.com.au/images/1005/6043917.jpg?impolicy=wowsmkqiema&w=260&h=260,4,24.0,$12.00/100g,False,,,
Easter Premium Bunny Ears Tinsel each,Unknown,,https://assets.woolworths.com.au/images/1005/6042627.jpg?impolicy=wowsmkqiema&w=260&h=260,4,8.0,,False,,,
Lindt Easter Gold Bunny Salted Caramel 100g,100g,,https://assets.woolworths.com.au/images/1005/83268.jpg?impolicy=wowsmkqiema&w=260&h=260,4,8.4,$8.40/100g,False,,,
Easter Bunny Toss Game each,Unknown,,https://assets.woolworths.com.au/images/1005/6046228.jpg?impolicy=wowsmkqiema&w=260&h=260,4,8.0,,False,,,
Nestle Easter Duo Egg Strawberry Short Cake 150g,150g,,https://assets.woolworths.com.au/images/1005/6046920.jpg?impolicy=wowsmkqiema&w=260&h=260,4,13.5,$9.00/100g,False,,,
Easter Jigsaw Puzzle 2 pack,2 pack,,https://assets.woolworths.com.au/images/1005/6046229.jpg?impolicy=wowsmkqiema&w=260&h=260,4,5.0,,False,,,
Cadbury Easter Micro Mini Chocolate Eggs Gift Box 163g,163g,,https://assets.woolworths.com.au/images/1005/6045319.jpg?impolicy=wowsmkqiema&w=260&h=260,4,13.5,$8.28/100g,False,,,
Easter Carrot Highlighters 4 pack,4 pack,,https://assets.woolworths.com.au/images/1005/6046208.jpg?impolicy=wowsmkqiema&w=260&h=260,4,5.0,,False,,,
Corinthians Easter Flavoured Cream Wafers Rocky Road 50g,50g,,https://assets.woolworths.com.au/images/1005/6043975.jpg?impolicy=wowsmkqiema&w=260&h=260,4,2.0,$4.00/100g,False,,,
Easter Wind Up Plush Bunny each,Unknown,,https://assets.woolworths.com.au/images/1005/6046158.jpg?impolicy=wowsmkqiema&w=260&h=260,4,2.0,,False,,,
Dollar Sweets Easter Marshmallows 120g,120g,,https://assets.woolworths.com.au/images/1005/6046988.jpg?impolicy=wowsmkqiema&w=260&h=260,4,5.5,$4.58/100g,False,,,
Easter Toy Car Bunny 2 pack,2 pack,,https://assets.woolworths.com.au/images/1005/6042600.jpg?impolicy=wowsmkqiema&w=260&h=260,4,2.0,,False,,,
Ferrero Rocher Milk Chocolate Easter Bunny 70g,70g,,https://assets.woolworths.com.au/images/1005/6047614.jpg?impolicy=wowsmkqiema&w=260&h=260,4,6.3,$9.00/100g,False,,,
