Product Name,Price,Unit Price
Gippsland Dairy Boysenberry Twist Yoghurt 160g,$1.50,$0.94 / 100G
"Dynamo Professional Laundry Liquid Odour Eliminator 2L
4.7
/
40",$14.50,$7.25 / 1L
Up&Go Liquid Breakfast Choc Ice 250mL x 3 pack,$3.40,$4.53 / 1L
"Lindt Lindor Assorted Chocolate Box 333g
5.0
/
1",$17.00,$5.11 / 100G
"Bulla Creamy Classics Ice Cream Vanilla 2L
4.8
/
255",$5.50,$0.28 / 100ML
"Doritos Corn Chips Cheese Supreme Share Pack 170g
4.8
/
45",$2.50,$1.47 / 100G
"Nescafe Cappuccino Coffee Sachets 10 pack
4.5
/
447",$4.00,$0.40 / 1EA
Arnotts Tim Tam White Chocolate Biscuits 165g,$3.00,$1.82 / 100G
Coca-Cola Diet Soft Drink Multipack Cans 375mL X 10 pack,$10.00,$2.67 / 1L
"Jack Link's Original Beef Jerky 50g
5.0
/
1",$3.15,$63.00 / 1KG
"Thins Chips Light & Tangy 175g
5.0
/
1",$2.50,$1.43 / 100G
Cadbury Twirl Milk Chocolate Bites Snack & Share Bag 140g,$3.50,$2.50 / 100G
Arnotts Tee Vee Snacks Malt Sticks Chocolate Biscuits 175g,$2.75,$1.57 / 100G
Gatorade Sports Drinks Blue Bolt Electrolyte Hydration Bottle 600mL,$2.10,$3.50 / 1L
Lindt Excellence Dark Chocolate 70% Cocoa Block 100g,$4.25,$4.25 / 100G
"Maggi Chicken Flavour Cup Instant Noodles 60g
4.6
/
23",$1.25,$2.08 / 100G
"Hong Kong Dim Sim Kitchen Pork & Chive Dumplings 300g
3.0
/
2",$4.25,$1.42 / 100G
"Colgate Whitening Toothpaste Advanced Whiten Tartar Control 200g
4.3
/
115",$5.00,$2.50 / 100G
Up&Go Protein Energize Liquid Breakfast Choc 250mL x 3 pack,$3.40,$4.53 / 1L
"Nivea MEN Black & White Original 72hr Antiperspirant Deodorant 250mL
4.5
/
124",$4.75,$1.90 / 100ML
"Oral-B Kids Clean Frozen Toothpaste 3-6 Years 92g
3.7
/
206
• Promoted",$1.75,$1.90 / 100G
"Oral-B Kids Frozen 3+ Years Mild Fresh Fruity Toothpaste 92g
3.7
/
160
• Promoted",$1.75,$1.90 / 100G
"Cadbury Milk Chocolate Coated Almonds Almonds 280g
1.0
/
1
• Promoted",$6.50,$2.32 / 100G
"Lindt Lindor Assorted Chocolate Box 333g
5.0
/
1
• Promoted",$17.00,$5.11 / 100G
"Golden Crumpets Round 6 pack
4.8
/
233",$2.30,$0.38 / 1EA
KitKat Chocolate Bar 42g,$1.50,$3.57 / 100G
"Doritos Corn Chips Cheese Supreme Share Pack 170g
4.8
/
45",$2.50,$1.47 / 100G
Gatorade Sports Drinks Blue Bolt Electrolyte Hydration Bottle 600mL,$2.10,$3.50 / 1L
Vitasoy Oat Milky Long Life Milk UHT 1L,$1.50,$1.50 / 1L
Arnotts Tim Tam Original Chocolate Biscuits 200g,$3.00,$1.50 / 100G
"Oral-B Kids Star Wars 6+ Years Mild Fresh Mint Toothpaste 92g
4.0
/
36
• Promoted",$1.75,$1.90 / 100G
"Celebrations Chocolate Party Gift Box 320g
Promoted",$7.75,$2.42 / 100G
