Product Name,Price,Unit Price
Strawberries Punnet 250g,$2.50,$10.00 / 1KG
Gourmet Tomato each,$0.43,$0.43 / 1EA
Hass Avocado each,$1.50,$1.50 / 1EA
Mandarin Amorette® Seedless each,$0.47,$0.47 / 1EA
Fresh Zucchini Green each,$0.98,$0.98 / 1EA
Sweet Potato Gold each,$1.56,$1.56 / 1EA
Blueberries Punnet 125g,$3.90,$31.20 / 1KG
Fresh Granny Smith Apples each,$0.86,$0.86 / 1EA
Orange Navel each,$0.83,$0.83 / 1EA
Woolworths Broccolini Bunch each,$2.00,$2.00 / 1EA
Fresh Packham Pear each,$0.87,$0.87 / 1EA
Woolworths Kiwi Fruit Green each,$1.34,$1.34 / 1EA
Woolworths Onion Brown Bag 1kg,$2.50,$2.50 / 1KG
Corn Sweet each,$1.20,$1.20 / 1EA
Woolworths Cos Hearts Lettuce 2 pack,$3.00,$1.50 / 1EA
Pumpkin Kent Cut each,$1.40,$1.40 / 1EA
Kanzi Apple each,$0.96,$0.96 / 1EA
Fresh Whole Cauliflower each,$3.00,$3.00 / 1EA
Woolworths Fresh Granny Smith Apples Punnet 1kg,$4.90,$4.90 / 1KG
Woolworths Sweet Solanato Tomato Punnet Punnet 200g,$4.50,$22.50 / 1KG
Bravo Apple Fresh each,$0.96,$0.96 / 1EA
Woolworths Packham Pear Punnet 1kg,$3.50,$3.50 / 1KG
Woolworths Red Washed Potatoes Bag 2kg,$5.50,$2.75 / 1KG
Woolworths Brushed Potatoes Bag 2kg,$4.90,$2.45 / 1KG
Mulgowie Green Beans Cleaned & Cut 340g,$5.50,$16.18 / 1KG
Delite Mandarin Seedless Bag 700g,$3.50,$5.00 / 1KG
Sumo Citrus each,$2.35,$2.35 / 1EA
Pineapple Naturally Sweet Whole each,$4.90,$4.90 / 1EA
Cara Cara Oranges Bag 1kg,$3.50,$3.50 / 1KG
Fresh Kent Pumpkin Whole each,$5.20,$5.20 / 1EA
Kanzi Apple Punnet 1kg,$5.50,$5.50 / 1KG
Macro Organic Herb Coriander Bunch each,$3.90,$3.90 / 1EA
Macro Organic Herb Parsley Bunch each,$3.90,$3.90 / 1EA
Macro Wholefoods Market Organic Australian Mini Cucumbers 200g,$5.00,$25.00 / 1KG
Macro Organic Kale each,$5.00,$5.00 / 1EA
