Product Name,Price,Unit Price,Image
Cavendish Bananas each,$0.81,$0.81 / 1EA,https://assets.woolworths.com.au/images/1005/133211.jpg?impolicy=wowsmkqiema&w=260&h=260
Gourmet Tomato each,$0.54,$0.54 / 1EA,https://assets.woolworths.com.au/images/1005/134034.jpg?impolicy=wowsmkqiema&w=260&h=260
Red Capsicum each,$1.98,$1.98 / 1EA,https://assets.woolworths.com.au/images/1005/135306.jpg?impolicy=wowsmkqiema&w=260&h=260
Fresh Pink Lady Apples each,$1.56,$1.56 / 1EA,https://assets.woolworths.com.au/images/1005/105919.jpg?impolicy=wowsmkqiema&w=260&h=260
Onion Brown each,$0.59,$0.59 / 1EA,https://assets.woolworths.com.au/images/1005/144329.jpg?impolicy=wowsmkqiema&w=260&h=260
Woolworths Australian Grown Carrots 1kg,$2.40,$2.40 / 1KG,https://assets.woolworths.com.au/images/1005/135369.jpg?impolicy=wowsmkqiema&w=260&h=260
Fresh Zucchini Green each,$1.18,$1.18 / 1EA,https://assets.woolworths.com.au/images/1005/170225.jpg?impolicy=wowsmkqiema&w=260&h=260
Sweet Potato Gold each,$1.96,$1.96 / 1EA,https://assets.woolworths.com.au/images/1005/147071.jpg?impolicy=wowsmkqiema&w=260&h=260
Strawberries Punnet 250g,$5.00,$20.00 / 1KG,https://assets.woolworths.com.au/images/1005/144607.jpg?impolicy=wowsmkqiema&w=260&h=260
Hass Avocado each,$1.50,$1.50 / 1EA,https://assets.woolworths.com.au/images/1005/120080.jpg?impolicy=wowsmkqiema&w=260&h=260
Woolworths RSPCA Approved Chicken Breast Fillet per 350g,"$2.98
/ 350G",$8.50 / 1KG,https://assets.woolworths.com.au/images/1005/710953.jpg?impolicy=wowsmkqiema&w=260&h=260
Woolworths Lean Beef Mince 1kg,$19.00,$19.00 / 1KG,https://assets.woolworths.com.au/images/1005/577862.jpg?impolicy=wowsmkqiema&w=260&h=260
Woolworths Beef Mince 1kg,$14.00,$14.00 / 1KG,https://assets.woolworths.com.au/images/1005/577864.jpg?impolicy=wowsmkqiema&w=260&h=260
Woolworths Lean Beef Mince 500g,$10.50,$21.00 / 1KG,https://assets.woolworths.com.au/images/1005/577861.jpg?impolicy=wowsmkqiema&w=260&h=260
D'Orsogna Champagne Leg Ham Shaved From The Deli per 100g,"$2.40
/ 100G",$24.00 / 1KG,https://assets.woolworths.com.au/images/1005/129693.jpg?impolicy=wowsmkqiema&w=260&h=260
Macro Chicken Breast Fillets Free Range 700g - 1.4kg,$16.80,$12.00 / 1KG,https://assets.woolworths.com.au/images/1005/700228.jpg?impolicy=wowsmkqiema&w=260&h=260
Woolworths Beef Mince 500g,$8.50,$17.00 / 1KG,https://assets.woolworths.com.au/images/1005/577863.jpg?impolicy=wowsmkqiema&w=260&h=260
D'Orsogna Ham Leg Triple Smoked 97% Fat Free Shaved From The Deli per 100g,"$2.30
/ 100G",$23.00 / 1KG,https://assets.woolworths.com.au/images/1005/175734.jpg?impolicy=wowsmkqiema&w=260&h=260
Woolworths Beef & Lamb Meatballs 400g,$8.00,$20.00 / 1KG,https://assets.woolworths.com.au/images/1005/764264.jpg?impolicy=wowsmkqiema&w=260&h=260
D'Orsogna Shortcut Bacon From the Deli per 125g,"$2.00
/ 125G",$16.00 / 1KG,https://assets.woolworths.com.au/images/1005/71841.jpg?impolicy=wowsmkqiema&w=260&h=260
Woolworths 10 Herb & Garlic Beef Sausages 550g,$6.50,$11.82 / 1KG,https://assets.woolworths.com.au/images/1005/901505.jpg?impolicy=wowsmkqiema&w=260&h=260
Woolworths 12 Chicken Kebabs Honey Soy 750g,$10.00,$13.33 / 1KG,https://assets.woolworths.com.au/images/1005/907241.jpg?impolicy=wowsmkqiema&w=260&h=260
Dolmio Extra Bolognese Tomato Pasta Sauce 500g,$4.60,$0.92 / 100G,https://assets.woolworths.com.au/images/1005/758286.jpg?impolicy=wowsmkqiema&w=260&h=260
Dolmio Classic Tomato With Basil Pasta Sauce 500g,$2.50,$0.50 / 100G,https://assets.woolworths.com.au/images/1005/758377.jpg?impolicy=wowsmkqiema&w=260&h=260
Dolmio Extra Tomato Onion & Roast Garlic Pasta Sauce 500g,$4.60,$0.92 / 100G,https://assets.woolworths.com.au/images/1005/758342.jpg?impolicy=wowsmkqiema&w=260&h=260
Chan's Yum Cha Pork & Chive Gyoza 250g,$7.95,$3.18 / 100G,https://assets.woolworths.com.au/images/1005/180011.jpg?impolicy=wowsmkqiema&w=260&h=260
Dolmio Extra Red Wine & Italian Herbs Tomato Pasta Sauce 500g,$4.60,$0.92 / 100G,https://assets.woolworths.com.au/images/1005/758288.jpg?impolicy=wowsmkqiema&w=260&h=260
Sara Lee Chocolate Swirl Bavarian 375g,$9.00,$2.40 / 100G,https://assets.woolworths.com.au/images/1005/263648.jpg?impolicy=wowsmkqiema&w=260&h=260
Sara Lee French Cream Cheesecake 360g,$9.00,$2.50 / 100G,https://assets.woolworths.com.au/images/1005/263636.jpg?impolicy=wowsmkqiema&w=260&h=260
Chan's Yum Cha Sesame Prawn Toast 180g,$7.95,$4.42 / 100G,https://assets.woolworths.com.au/images/1005/6023765.jpg?impolicy=wowsmkqiema&w=260&h=260
Dari's Chicken Noodle Soup 550g,$7.40,$1.35 / 100G,https://assets.woolworths.com.au/images/1005/181143.jpg?impolicy=wowsmkqiema&w=260&h=260
Much Moore Awesome Hokey Pokey Ice Cream Tub 2L,$11.00,$0.55 / 100ML,https://assets.woolworths.com.au/images/1005/117705.jpg?impolicy=wowsmkqiema&w=260&h=260
Pana Organic Vanilla Bean Frozen Dessert Tub 950mL,$13.00,$1.37 / 100ML,https://assets.woolworths.com.au/images/1005/246028.jpg?impolicy=wowsmkqiema&w=260&h=260
Much Moore Awesome Salted Caramel Ice Cream Tub 2L,$11.00,$0.55 / 100ML,https://assets.woolworths.com.au/images/1005/560627.jpg?impolicy=wowsmkqiema&w=260&h=260
Chan's Yum Cha Vegan Spring Roll 300g,$7.95,$2.65 / 100G,https://assets.woolworths.com.au/images/1005/28226.jpg?impolicy=wowsmkqiema&w=260&h=260
Much Moore Awesome Foursome Cravings Ice Cream Tub 2L,$11.00,$0.55 / 100ML,https://assets.woolworths.com.au/images/1005/799723.jpg?impolicy=wowsmkqiema&w=260&h=260
Sara Lee Incredibly Crunchy Salted Caramel Cheesecake 425g,$9.00,$2.12 / 100G,https://assets.woolworths.com.au/images/1005/928673.jpg?impolicy=wowsmkqiema&w=260&h=260
Much Moore Awesome Chocolate Cookies Ice Cream Tub 2L,$11.00,$0.55 / 100ML,https://assets.woolworths.com.au/images/1005/6038844.jpg?impolicy=wowsmkqiema&w=260&h=260
Dr. Oetker Ristorante Frozen Pizza Speciale Pepperoni & Ham 345g,$9.50,$2.75 / 100G,https://assets.woolworths.com.au/images/1005/6036025.jpg?impolicy=wowsmkqiema&w=260&h=260
Sara Lee Strawberry Cheesecake 410g,$9.00,$2.20 / 100G,https://assets.woolworths.com.au/images/1005/263645.jpg?impolicy=wowsmkqiema&w=260&h=260
Dr. Oetker Ristorante Pizza Hawaii 355g,$9.50,$2.68 / 100G,https://assets.woolworths.com.au/images/1005/705357.jpg?impolicy=wowsmkqiema&w=260&h=260
Dr. Oetker Ristorante Pizza Spinaci 390g,$9.50,$2.44 / 100G,https://assets.woolworths.com.au/images/1005/728499.jpg?impolicy=wowsmkqiema&w=260&h=260
Sara Lee Tiramisu 415g,$7.20,$1.73 / 100G,https://assets.woolworths.com.au/images/1005/739139.jpg?impolicy=wowsmkqiema&w=260&h=260
Dari's Hearty Chicken Soup 550g,$7.40,$1.35 / 100G,https://assets.woolworths.com.au/images/1005/180787.jpg?impolicy=wowsmkqiema&w=260&h=260
Dari's Chicken & Corn Soup 550g,$7.40,$1.35 / 100G,https://assets.woolworths.com.au/images/1005/181922.jpg?impolicy=wowsmkqiema&w=260&h=260
Chan's Yum Cha Prawn Hargow 230g,$7.95,$3.46 / 100G,https://assets.woolworths.com.au/images/1005/6023766.jpg?impolicy=wowsmkqiema&w=260&h=260
Queen Sugar Free Caramel Dulce De Leche Flavoured Topping 355mL,$4.50,$1.27 / 100ML,https://assets.woolworths.com.au/images/1005/387377.jpg?impolicy=wowsmkqiema&w=260&h=260
Queen Sugar Free Chocolate Fudge Topping 355mL,$4.50,$1.27 / 100ML,https://assets.woolworths.com.au/images/1005/381238.jpg?impolicy=wowsmkqiema&w=260&h=260
Dari's Classic Pumpkin Soup 550g,$7.40,$1.35 / 100G,https://assets.woolworths.com.au/images/1005/210591.jpg?impolicy=wowsmkqiema&w=260&h=260
Dari's Classic Vegetable Soup 550g,$7.40,$1.35 / 100G,https://assets.woolworths.com.au/images/1005/180711.jpg?impolicy=wowsmkqiema&w=260&h=260
Queen Sugar Free Flavoured Topping Strawberry Sundae 355mL,$4.50,$1.27 / 100ML,https://assets.woolworths.com.au/images/1005/6033696.jpg?impolicy=wowsmkqiema&w=260&h=260
Sara Lee Lemon Cheesecake 410g,$9.00,$2.20 / 100G,https://assets.woolworths.com.au/images/1005/6026192.jpg?impolicy=wowsmkqiema&w=260&h=260
Queen Sugar Free Topping Chocolate Mint Fudge 355mL,$4.50,$1.27 / 100ML,https://assets.woolworths.com.au/images/1005/6035721.jpg?impolicy=wowsmkqiema&w=260&h=260
Philadelphia Sweet Chilli Cream Cheese Pourover Tub 250g,$3.50,$1.40 / 100G,https://assets.woolworths.com.au/images/1005/213014.jpg?impolicy=wowsmkqiema&w=260&h=260
Don Leg Ham Shaved 200g,$4.60,$23.00 / 1KG,https://assets.woolworths.com.au/images/1005/290324.jpg?impolicy=wowsmkqiema&w=260&h=260
Red Rock Deli Roasted Red Capsicum Pecorino Cashews & Basil Dip 135g,$5.00,$3.70 / 100G,https://assets.woolworths.com.au/images/1005/387035.jpg?impolicy=wowsmkqiema&w=260&h=260
Alannah's Dip Mediterranean Classic Pine Nut Hommus 200g,$3.95,$1.98 / 100G,https://assets.woolworths.com.au/images/1005/6038603.jpg?impolicy=wowsmkqiema&w=260&h=260
Red Rock Deli Basil Pesto Pecorino & Cashews Dip 135g,$5.00,$3.70 / 100G,https://assets.woolworths.com.au/images/1005/387163.jpg?impolicy=wowsmkqiema&w=260&h=260
Red Rock Deli Classics Caramelised French Onion Dip 190g,$5.00,$2.63 / 100G,https://assets.woolworths.com.au/images/1005/176569.jpg?impolicy=wowsmkqiema&w=260&h=260
Red Rock Deli Classics Sweet Chilli & Sour Cream Dip 190g,$5.00,$2.63 / 100G,https://assets.woolworths.com.au/images/1005/176969.jpg?impolicy=wowsmkqiema&w=260&h=260
